Ticker,Sector,Price,TrendScore,RS,FromHigh,EPS,Revenue,ScanDate
AMD,Technology,552.38,8/8,99,0.0%,+91.2%,+37.8%,2026-06-15
LRCX,Technology,385.95,8/8,99,0.0%,+40.8%,+23.8%,2026-06-15
AMAT,Technology,587.24,8/8,99,0.0%,+33.5%,+11.4%,2026-06-15
MU,Technology,1064.21,8/8,99,-1.42%,+756.0%,+196.3%,2026-06-15
FTNT,Technology,147.37,8/8,77,-1.54%,+28.6%,+20.1%,2026-06-15
MPWR,Technology,1637.28,8/8,90,-3.11%,+39.5%,+26.1%,2026-06-15
FORM,Technology,148.97,8/8,99,-3.94%,+225.0%,+32.0%,2026-06-15
NXPI,Technology,317.47,8/8,70,-4.57%,+130.7%,+12.2%,2026-06-15
ARM,Technology,379.97,8/8,99,-7.74%,+47.9%,+20.1%,2026-06-15
MRVL,Technology,290.81,8/8,99,-8.1%,-80.4%,+27.6%,2026-06-15
GOOGL,Communication Services,369.16,8/8,75,-8.26%,+82.0%,+21.8%,2026-06-15
TWLO,Technology,206.76,8/8,79,-12.63%,+375.0%,+20.0%,2026-06-15
CLS,Technology,396.38,8/8,99,-16.09%,+147.3%,+52.8%,2026-06-15
DDOG,Technology,229.86,8/8,84,-17.16%,+104.0%,+32.2%,2026-06-15
VRT,Industrials,311.68,7/8,99,-17.16%,+135.7%,+30.1%,2026-06-15
MDB,Technology,352.51,7/8,70,-19.99%,N/A,+25.2%,2026-06-15
RKLB,Industrials,109.05,7/8,99,-27.41%,N/A,+63.5%,2026-06-15
