股票代碼,技術分數,目前股價,離52週高點,平均成交量,EPS成長,營收成長,掃描日期
AAPL,6/6,291.13,-7.64%,"49,633,477",21.8%,16.6%,2026-06-13
MU,6/6,981.61,-9.07%,"33,517,508",756.0%,196.3%,2026-06-13
AMD,6/6,511.57,-5.7%,"47,168,631",91.2%,37.8%,2026-06-13
ARM,6/6,380.81,-7.53%,"6,493,793",47.9%,20.1%,2026-06-13
CRWD,6/6,682.8,-12.7%,"3,192,443",N/A,25.6%,2026-06-13
DDOG,6/6,229.9,-17.15%,"5,714,863",104.0%,32.2%,2026-06-13
MDB,6/6,342.8,-22.2%,"2,147,542",N/A,25.2%,2026-06-13
CLS,6/6,393.12,-16.78%,"2,858,270",147.3%,52.8%,2026-06-13
FORM,6/6,139.21,-10.23%,"1,257,759",225.0%,32.0%,2026-06-13
LRCX,6/6,366.81,0.0%,"11,018,944",40.8%,23.8%,2026-06-13
AMAT,6/6,567.25,0.0%,"7,598,993",33.5%,11.4%,2026-06-13
MRVL,6/6,279.7,-11.61%,"23,119,515",-80.4%,27.6%,2026-06-13
FTNT,6/6,146.3,-2.25%,"6,280,847",28.6%,20.1%,2026-06-13
TXN,6/6,301.12,-7.32%,"7,468,897",31.3%,18.6%,2026-06-13
EA,6/6,203.27,-0.55%,"2,612,949",85.3%,11.9%,2026-06-13
TWLO,6/6,204.08,-13.76%,"2,753,733",375.0%,20.0%,2026-06-13
LLY,6/6,1133.0,-2.41%,"3,639,126",169.9%,55.5%,2026-06-13
MPWR,6/6,1577.32,-6.66%,"622,771",39.5%,26.1%,2026-06-13
MCHP,6/6,95.24,-7.0%,"9,068,725",N/A,35.1%,2026-06-13
NXPI,6/6,304.86,-8.36%,"2,942,650",130.7%,12.2%,2026-06-13
BAC,6/6,56.02,-1.08%,"38,034,680",24.4%,8.1%,2026-06-13
GS,6/6,1062.75,-2.73%,"2,145,132",24.2%,14.5%,2026-06-13
MS,6/6,214.04,-1.94%,"6,019,180",31.9%,16.3%,2026-06-13
